baseline,n,median_relgap_%,proposed_wins,ties,losses,wilcoxon_p,holm_p
D-HGLS,11,6.54,11,0,0,0.00049,0.00391
PTO-HGLS,11,6.54,11,0,0,0.00049,0.00391
Q-HGLS,11,9.44,10,0,1,0.00098,0.00488
RO-Eco,11,17.47,10,0,1,0.00098,0.00488
S-HGLS,11,2.82,10,1,0,0.00098,0.00488
LA-SHGLS,11,3.29,10,1,0,0.00098,0.00488
DF-det,11,3.16,11,0,0,0.00049,0.00391
DF-CC,11,2.13,10,1,0,0.00098,0.00488
