baseline,n,median_relgap_%,proposed_wins,ties,losses,wilcoxon_p,holm_p
D-HGLS,11,,8,3,0,0.00391,0.03125
PTO-HGLS,11,,8,3,0,0.00391,0.03125
Q-HGLS,11,,1,4,6,0.98438,1.0
RO-Eco,11,,0,5,6,1.0,1.0
S-HGLS,11,,5,4,2,0.23438,0.9375
LA-SHGLS,11,,4,5,2,0.07812,0.46875
DF-det,11,,7,3,1,0.09766,0.48828
DF-CC,11,,5,4,2,0.30469,0.9375
