instance,c_over,c_late,seed,method,E_cost,CVaR_cost,P_overload,n_vehicles,secs
peshawar_real,2.0,0.025,2,DF-CC*,88.79688032117544,101.54414483599578,0.9,17,191.7
peshawar_real,2.0,0.1,1,S-HGLS,98.38395036295067,112.00593167709494,0.9,18,3.6
peshawar_real,2.0,0.1,1,LA-SHGLS,93.5193532943218,105.74173604710316,0.85,18,3.6
peshawar_real,2.0,0.1,1,DF-CC*,85.9569012164814,94.69182494739296,0.6,18,198.2
peshawar_real,2.0,0.1,2,S-HGLS,97.48943462534228,108.30424195235241,0.9,18,3.5
peshawar_real,2.0,0.1,2,LA-SHGLS,93.11927738724168,101.88734592843807,0.8,18,3.6
peshawar_real,2.0,0.1,2,DF-CC*,88.97710147071042,106.64268767855022,0.9,17,197.4
solomon_c101,1.0,0.05,1,S-HGLS,541.2831358167606,587.1153955927235,0.1,23,3.5
solomon_c101,1.0,0.05,1,LA-SHGLS,556.1711248732871,603.0270236272702,0.1,25,3.5
solomon_c101,1.0,0.05,1,DF-CC*,521.1070730252901,554.7009121528174,0.1,26,254.8
solomon_c101,1.0,0.05,2,S-HGLS,547.8743410342071,591.1007429779946,0.1,25,3.5
solomon_c101,1.0,0.05,2,LA-SHGLS,531.0507736274552,566.2287397816673,0.1,24,3.4
solomon_c101,1.0,0.05,2,DF-CC*,531.0507736274552,566.2287397816673,0.1,24,260.9
solomon_c101,2.0,0.05,1,S-HGLS,566.6093875848344,649.6956922012406,0.1,24,3.4
solomon_c101,2.0,0.05,1,LA-SHGLS,586.1589926186128,671.8136131570673,0.1,25,3.4
solomon_c101,2.0,0.05,1,DF-CC*,497.80332766741986,545.0564265839721,0.05,26,245.4
solomon_c101,2.0,0.05,2,S-HGLS,565.2312649191501,641.1978481559804,0.1,25,3.5
solomon_c101,2.0,0.05,2,LA-SHGLS,509.2770853363102,549.392737066298,0.05,25,3.4
solomon_c101,2.0,0.05,2,DF-CC*,509.2770853363102,549.392737066298,0.05,25,261.4
solomon_c101,4.0,0.05,1,S-HGLS,573.2236333273772,734.1145371326851,0.1,24,3.5
solomon_c101,4.0,0.05,1,LA-SHGLS,595.0477082147029,755.0332394163686,0.1,25,3.5
solomon_c101,4.0,0.05,1,DF-CC*,502.183159039169,588.8547403014638,0.05,26,247.2
solomon_c101,4.0,0.05,2,S-HGLS,546.4228385933477,688.4684373547943,0.1,25,3.5
solomon_c101,4.0,0.05,2,LA-SHGLS,549.0819150378151,694.1261406897327,0.1,24,3.5
solomon_c101,4.0,0.05,2,DF-CC*,549.0819150378151,694.1261406897327,0.1,24,263.9
solomon_c101,2.0,0.025,1,S-HGLS,561.5557089349132,647.6706683115815,0.1,24,3.5
solomon_c101,2.0,0.025,1,LA-SHGLS,557.3108340805456,634.3281870922283,0.15,23,3.5
solomon_c101,2.0,0.025,1,DF-CC*,515.2792870883293,596.0563066966936,0.2,24,257.5
solomon_c101,2.0,0.025,2,S-HGLS,547.6871856337424,622.5744791599121,0.1,25,3.5
solomon_c101,2.0,0.025,2,LA-SHGLS,544.7790692251467,623.2326517415105,0.1,25,3.5
solomon_c101,2.0,0.025,2,DF-CC*,544.7790692251467,623.2326517415105,0.1,25,260.9
solomon_c101,2.0,0.1,1,S-HGLS,550.0993378702435,622.3775101056735,0.05,25,3.4
solomon_c101,2.0,0.1,1,LA-SHGLS,580.7163385254797,665.2178991036216,0.1,25,3.4
solomon_c101,2.0,0.1,1,DF-CC*,525.3342415309864,563.8065827213812,0.05,27,248.3
solomon_c101,2.0,0.1,2,S-HGLS,538.3230999456581,599.5499617825822,0.05,25,3.4
solomon_c101,2.0,0.1,2,LA-SHGLS,518.1980936142754,570.8259671929633,0.15,26,3.4
solomon_c101,2.0,0.1,2,DF-CC*,518.1980936142754,570.8259671929633,0.15,26,248.7
