instance,variant,seed,E_cost,CVaR_cost,E_fuel,E_recourse,P_overload,P_late,n_vehicles,secs
nyc_manhattan,A0,1,48.05030877646516,51.035799265031415,38.32530877646516,9.725,0.0,0.0,8,1.5
nyc_manhattan,A1,1,44.97213464328537,49.11659111983522,33.97213464328537,11.0,0.0,0.0,8,1.4
nyc_manhattan,A2,1,47.88586124545079,50.88428332963536,38.310861245450795,9.575,0.0,0.0,8,1.5
nyc_manhattan,A3,1,48.05030877646516,51.035799265031415,38.32530877646516,9.725,0.0,0.0,8,1.5
nyc_manhattan,A4,1,47.88586124545079,50.88428332963536,38.310861245450795,9.575,0.0,0.0,8,1.4
nyc_manhattan,A5,1,44.52870730083264,49.54949260271913,35.266524914963064,9.262182385869583,0.25,0.0,8,1.8
nyc_manhattan,A0,2,49.15711354723392,52.15021107085064,40.556369890749345,8.600743656484577,0.05,0.0,8,1.5
nyc_manhattan,A1,2,48.188693768469726,51.19190210525727,37.213693768469724,10.975,0.0,0.0,8,1.4
nyc_manhattan,A2,2,49.290861698751634,52.441926649971435,42.19086169875163,7.1,0.0,0.0,8,1.5
nyc_manhattan,A3,2,49.15711354723392,52.15021107085064,40.556369890749345,8.600743656484577,0.05,0.0,8,1.5
nyc_manhattan,A4,2,49.290861698751634,52.441926649971435,42.19086169875163,7.1,0.0,0.0,8,1.5
nyc_manhattan,A5,2,47.90214780674837,52.85001126400519,38.56337980184074,9.338768004907635,0.35,0.0,7,1.9
nyc_manhattan,A0,3,49.3936758013087,51.718061179347416,40.0936758013087,9.3,0.0,0.0,9,1.6
nyc_manhattan,A1,3,46.499819312751505,50.782694641493734,35.0498193127515,11.45,0.0,0.0,10,1.6
nyc_manhattan,A2,3,48.09003633598276,51.34752808740835,38.040036335982755,10.05,0.0,0.0,10,1.6
nyc_manhattan,A3,3,49.3936758013087,51.718061179347416,40.0936758013087,9.3,0.0,0.0,9,1.6
nyc_manhattan,A4,3,48.09003633598276,51.34752808740835,38.040036335982755,10.05,0.0,0.0,10,1.6
nyc_manhattan,A5,3,48.988055967500806,52.34156954803424,37.92141699517791,11.066638972322892,0.3,0.0,7,1.9
peshawar_real,A0,1,91.06461554252328,100.94935207851304,80.36376052763907,10.700855014884205,0.7,0.05,19,2.6
peshawar_real,A1,1,92.99782723197544,104.70639614414037,80.27159820910242,12.726229022873028,0.7,0.05,19,2.5
peshawar_real,A2,1,90.59610435103724,99.29856820359964,80.88360589537572,9.712498455661535,0.75,0.05,19,2.6
peshawar_real,A3,1,91.06461554252328,100.94935207851304,80.36376052763907,10.700855014884205,0.7,0.05,19,2.7
peshawar_real,A4,1,102.92930863229074,114.45652166753862,81.08906220332241,21.840246428968335,0.8,1.0,19,2.6
peshawar_real,A5,1,93.41256698228327,106.04560992388244,79.74680393544322,13.665763046840047,0.8,0.0,18,3.5
peshawar_real,A0,2,92.14925543483386,103.28116979414736,81.98744811585634,10.161807318977523,0.65,0.15,19,2.8
peshawar_real,A1,2,94.69344918042304,107.2736370834966,81.56290482114971,13.130544359273319,0.8,0.25,19,2.5
peshawar_real,A2,2,93.34708699314956,105.96786999224398,80.98002895443672,12.367058038712841,0.7,1.0,19,2.7
peshawar_real,A3,2,92.14925543483386,103.28116979414736,81.98744811585634,10.161807318977523,0.65,0.15,19,2.9
peshawar_real,A4,2,104.51530488935359,117.10144980130951,81.28946214719073,23.22584274216288,0.8,1.0,19,2.8
peshawar_real,A5,2,94.99843085237839,109.16583597990962,83.62385969489291,11.374571157485489,0.9,1.0,18,3.4
peshawar_real,A0,3,94.20889125330987,104.31700180604543,84.72511635306789,9.483774900241974,0.55,1.0,20,2.6
peshawar_real,A1,3,97.33771129563226,109.55719292009725,82.82054766821334,14.517163627418942,0.75,1.0,19,2.4
peshawar_real,A2,3,91.18510052275057,103.67386660515604,81.31931924176588,9.865781280984667,0.65,0.55,19,2.6
peshawar_real,A3,3,91.20630594895331,102.6921147499603,82.47262080097053,8.733685147982783,0.55,0.8,20,2.7
peshawar_real,A4,3,114.04896769418546,126.46601505998714,77.63661386427677,36.41235382990872,0.65,1.0,18,2.5
peshawar_real,A5,3,95.09502287395387,104.73324455568587,83.63181225404331,11.463210619910537,0.7,1.0,18,3.4
dublin_real,A0,1,91.7017895198577,103.14329879015341,77.97617942269686,13.725610097160821,0.95,0.0,11,2.4
dublin_real,A1,1,90.47486464523527,101.27801003102256,74.39202472950197,16.082839915733324,0.95,0.0,11,2.2
dublin_real,A2,1,91.23471502224248,99.5899194676415,78.79994957707818,12.434765445164317,0.95,0.0,11,2.4
dublin_real,A3,1,91.7017895198577,103.14329879015341,77.97617942269686,13.725610097160821,0.95,0.0,11,2.5
dublin_real,A4,1,89.50363534353188,100.89655781450028,76.58814361892016,12.915491724611709,0.95,0.0,11,2.3
dublin_real,A5,1,92.88576484571641,99.32235682053063,82.3064910607566,10.579273784959813,0.55,0.0,14,3.0
dublin_real,A0,2,90.40834080956418,101.82838781445852,74.76243394650004,15.645906863064155,0.95,0.0,11,2.2
dublin_real,A1,2,91.16613981776717,101.07481145417975,75.60647277059029,15.559667047176891,0.95,0.0,11,2.1
dublin_real,A2,2,94.89663532262642,109.34528667434984,73.5561028538302,21.34053246879621,1.0,0.0,10,2.1
dublin_real,A3,2,90.40834080956418,101.82838781445852,74.76243394650004,15.645906863064155,0.95,0.0,11,2.3
dublin_real,A4,2,94.82328885516692,111.5916772804081,72.93888283340486,21.88440602176204,1.0,0.0,10,2.1
dublin_real,A5,2,101.20009098926239,108.51838105260097,90.01577421449818,11.184316774764195,0.9,0.0,12,3.0
dublin_real,A0,3,106.4413584404848,124.57691897399019,94.51751456002123,11.923843880463584,0.95,0.0,12,2.2
dublin_real,A1,3,100.30052044267065,107.06832126275594,87.5932511079315,12.707269334739141,0.4,0.0,16,2.3
dublin_real,A2,3,105.49656144802762,122.35151073686964,91.10648599816628,14.390075449861333,0.9,0.0,12,2.2
dublin_real,A3,3,106.4413584404848,124.57691897399019,94.51751456002123,11.923843880463584,0.95,0.0,12,2.3
dublin_real,A4,3,99.88244040169732,118.4680819527322,87.30190605723361,12.580534344463736,0.9,0.0,12,2.2
dublin_real,A5,3,102.02606086675617,115.44416202126538,91.3202360721071,10.705824794649082,0.85,0.0,12,2.9
solomon_c101,A0,1,532.306675177332,586.6665702624817,513.0876341066183,19.21904107071364,0.05,1.0,28,4.6
solomon_c101,A1,1,550.7524781390746,606.4891444057475,529.8538226074006,20.898655531673718,0.05,1.0,28,5.1
solomon_c101,A2,1,532.306675177332,586.6665702624817,513.0876341066183,19.21904107071364,0.05,1.0,28,5.0
solomon_c101,A3,1,548.7813484388932,605.0755597755483,528.3743445607319,20.40700387816145,0.05,1.0,28,5.0
solomon_c101,A4,1,2200.7934718661645,2266.2548524050617,478.4579349501656,1722.3355369159992,0.05,1.0,23,4.5
solomon_c101,A5,1,566.6093875848344,649.6956922012406,541.8464197517794,24.762967833055082,0.1,1.0,24,5.1
solomon_c101,A0,2,557.4522433034051,636.5729928022035,532.5424996831231,24.909743620282125,0.1,1.0,25,4.2
solomon_c101,A1,2,562.9613622225935,646.3706534627016,540.1849232899879,22.776438932605544,0.15,1.0,25,4.5
solomon_c101,A2,2,540.0980647251164,613.9787778654122,514.4396481790734,25.658416546042922,0.1,1.0,26,4.4
solomon_c101,A3,2,563.0346345528292,641.1889176718039,543.1404609560989,19.89417359673027,0.1,1.0,25,4.4
solomon_c101,A4,2,2041.7547299042967,2110.756741365764,475.856404018768,1565.8983258855287,0.1,1.0,22,4.1
solomon_c101,A5,2,565.2312649191501,641.1978481559804,530.9049587933584,34.32630612579166,0.1,1.0,25,4.3
solomon_c101,A0,3,524.6072223187837,549.8776153667129,505.520860537737,19.086361781046666,0.05,1.0,26,4.1
solomon_c101,A1,3,513.726109917824,524.0819095042764,497.56705569340846,16.159054224415648,0.0,0.8,27,3.9
solomon_c101,A2,3,524.6072223187837,549.8776153667129,505.520860537737,19.086361781046666,0.05,1.0,26,4.1
solomon_c101,A3,3,542.6349658532722,568.5377127015233,520.98106018562,21.653905667652005,0.05,1.0,26,4.2
solomon_c101,A4,3,1861.71969830185,1890.5128393587017,462.31399732933886,1399.405700972511,0.05,1.0,22,4.0
solomon_c101,A5,3,523.4054636800405,541.5131767164208,508.10084676593107,15.304616914109468,0.05,1.0,24,4.1
solomon_r202,A0,1,371.12384987489554,380.736005719667,354.54591291128,16.577936963615493,0.0,1.0,16,4.1
solomon_r202,A1,1,390.31222242221804,400.88578759425786,365.4721776164107,24.8400448058074,0.0,1.0,18,4.6
solomon_r202,A2,1,371.12384987489554,380.736005719667,354.54591291128,16.577936963615493,0.0,1.0,16,4.0
solomon_r202,A3,1,366.96578392383014,375.16934245953155,354.14318177534045,12.82260214848964,0.0,1.0,16,4.2
solomon_r202,A4,1,1052.3833480618077,1075.1788052754773,315.69395944977225,736.6893886120354,0.0,1.0,13,4.0
solomon_r202,A5,1,371.12384987489554,380.736005719667,354.54591291128,16.577936963615493,0.0,1.0,16,3.9
solomon_r202,A0,2,384.1822589715136,393.8878970580952,365.9603146921765,18.221944279337023,0.0,1.0,16,3.9
solomon_r202,A1,2,381.50807156980284,393.8178301222458,362.06665656193957,19.441415007863284,0.0,1.0,15,4.0
solomon_r202,A2,2,384.1822589715136,393.8878970580952,365.9603146921765,18.221944279337023,0.0,1.0,16,4.1
solomon_r202,A3,2,350.96198102536044,358.30257984875635,334.99322002142407,15.968761003936361,0.0,1.0,17,4.2
solomon_r202,A4,2,732.6431091026159,747.3774261186311,302.30939414001614,430.3337149625998,0.0,1.0,13,4.0
solomon_r202,A5,2,384.1822589715136,393.8878970580952,365.9603146921765,18.221944279337023,0.0,1.0,16,4.0
solomon_r202,A0,3,376.54376690810665,384.5350441203467,359.7261871188032,16.817579789303544,0.0,1.0,17,3.9
solomon_r202,A1,3,355.0595348751953,364.70322493475936,338.2301783390261,16.829356536169236,0.0,1.0,16,4.0
solomon_r202,A2,3,376.54376690810665,384.5350441203467,359.7261871188032,16.817579789303544,0.0,1.0,17,4.1
solomon_r202,A3,3,376.21121013627055,384.04082279960994,357.5372932842192,18.6739168520513,0.0,1.0,16,4.2
solomon_r202,A4,3,1161.2453543103347,1182.8262350536152,320.2131559471849,841.0321983631499,0.0,1.0,14,4.1
solomon_r202,A5,3,376.54376690810665,384.5350441203467,359.7261871188032,16.817579789303544,0.0,1.0,17,4.0
