baseline,n,mean_gain_pct,median_gain_pct,ci_lo,ci_hi,wins,ties,losses,rank_biserial,cliffs_delta,wilcoxon_p,holm_p
CVAR,55,-7.79,3.99,,,22,18,15,0.053,0.044,0.181732,0.18173
DET,55,-inf,60.87,,,35,17,3,0.773,0.282,0.0,0.0
ORT,55,-inf,44.25,,,32,17,6,0.638,0.193,5e-06,2e-05
PTO,55,62.7,70.25,,,37,17,1,0.901,0.321,0.0,0.0
Q90C,55,-inf,-340.0,,,2,20,33,-0.963,-0.296,0.0,0.0
RO,55,-inf,-1550.0,,,1,19,35,-0.995,-0.432,0.0,0.0
SAA,55,13.3,0.0,,,16,34,5,0.472,0.1,0.007829,0.01566
