family,rep,method,seed,secs,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,kappa,rho,tau_mean,selected
nyc_manhattan,5,DFR,0,50.0,41.80768,31.20268,73.63832,10.605,50.57127,0.26,0.375,1.99295,0.0,0.0,0.0,7.0,1.121,0.0648,0.69,SAA
nyc_manhattan,5,ORT,0,20.2,38.23126,26.92876,63.55188,11.3025,50.03122,0.335,0.585,3.81038,0.0,0.0,0.0,7.0,,,,
nyc_queens,1,DET,0,20.0,45.11088,39.18088,92.46687,5.93,57.75675,0.63,1.05,15.36386,0.0,0.0,0.0,3.0,,,,
nyc_queens,1,PTO,0,20.0,45.69275,39.71775,93.73388,5.975,57.96271,0.745,1.195,19.6863,0.0,0.0,0.0,3.0,,,,
nyc_queens,1,SAA,0,20.0,41.52703,37.45453,88.3927,4.0725,51.02539,0.32,0.345,4.73187,0.0,0.0,0.0,4.0,,,,
nyc_queens,1,CVAR,0,20.0,41.14626,37.47126,88.43218,3.675,50.28157,0.235,0.25,3.10903,0.0,0.0,0.0,4.0,,,,
nyc_queens,1,Q90C,0,30.0,43.99713,40.54463,95.68534,3.4525,50.62547,0.01,0.01,0.12854,0.0,0.0,0.0,5.0,1.1448,,,
nyc_queens,1,RO,0,20.0,46.7657,42.4357,100.14825,4.33,52.3766,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,
nyc_queens,1,DFR,0,50.0,41.52703,37.45453,88.3927,4.0725,51.02539,0.32,0.345,4.73187,0.0,0.0,0.0,4.0,1.159,0.0451,0.861,SAA
nyc_queens,1,ORT,0,20.1,40.26966,36.05716,85.09489,4.2125,50.6232,0.225,0.26,4.487,0.0,0.0,0.0,4.0,,,,
nyc_queens,2,DET,0,20.0,46.52098,41.08098,96.95111,5.44,61.65838,0.54,0.9,13.34223,0.0,0.0,0.0,4.0,,,,
nyc_queens,2,PTO,0,20.0,47.00514,40.83264,96.36502,6.1725,64.94195,0.72,1.235,18.61622,0.0,0.0,0.0,3.0,,,,
nyc_queens,2,SAA,0,20.0,42.27738,38.49738,90.85381,3.78,52.53499,0.125,0.13,1.96916,0.0,0.0,0.0,4.0,,,,
nyc_queens,2,CVAR,0,20.0,42.50769,38.24769,90.26455,4.26,50.5111,0.075,0.08,0.69365,0.0,0.0,0.0,4.0,,,,
nyc_queens,2,Q90C,0,30.0,43.84365,40.03865,94.49121,3.805,51.08418,0.02,0.02,0.26995,0.0,0.0,0.0,5.0,1.152,,,
nyc_queens,2,RO,0,20.0,47.61275,43.96025,103.74619,3.6525,55.10766,0.005,0.005,0.05814,0.0,0.0,0.0,6.0,,,,
nyc_queens,2,DFR,0,50.0,42.27738,38.49738,90.85381,3.78,52.53499,0.125,0.13,1.96916,0.0,0.0,0.0,4.0,1.1438,0.0639,0.861,SAA
nyc_queens,2,ORT,0,20.1,40.70564,36.51564,86.17691,4.19,55.18171,0.23,0.3,5.63435,0.0,0.0,0.0,4.0,,,,
nyc_queens,3,DET,0,20.0,44.36573,38.34073,90.48412,6.025,60.07176,0.57,0.985,17.66132,0.0,0.0,0.0,3.0,,,,
nyc_queens,3,PTO,0,20.0,48.29353,42.00603,99.13424,6.2875,63.39448,0.635,1.015,24.93377,0.0,0.0,0.0,3.0,,,,
nyc_queens,3,SAA,0,20.0,44.69106,40.35106,95.22851,4.34,52.67381,0.065,0.075,1.14711,0.0,0.0,0.0,5.0,,,,
nyc_queens,3,CVAR,0,20.0,43.70393,39.65393,93.58327,4.05,51.91528,0.075,0.1,1.15351,0.0,0.0,0.0,4.0,,,,
nyc_queens,3,Q90C,0,30.0,41.76018,37.98518,89.64503,3.775,48.12894,0.015,0.015,0.27303,0.0,0.0,0.0,5.0,1.1217,,,
nyc_queens,3,RO,0,20.0,46.85006,42.99506,101.46834,3.855,52.86356,0.005,0.005,0.05223,0.0,0.0,0.0,6.0,,,,
nyc_queens,3,DFR,0,50.0,42.98116,39.01866,92.08404,3.9625,49.72879,0.03,0.035,0.454,0.0,0.0,0.0,5.0,1.1485,0.0464,0.862,DF
nyc_queens,3,ORT,0,20.1,40.27146,35.65646,84.14923,4.615,50.58173,0.225,0.29,3.70308,0.0,0.0,0.0,4.0,,,,
nyc_queens,4,DET,0,20.0,46.11934,40.33684,95.19494,5.7825,61.45609,0.625,1.065,18.27452,0.0,0.0,0.0,3.0,,,,
nyc_queens,4,PTO,0,20.0,45.2206,39.5906,93.43382,5.63,59.07977,0.7,1.17,14.18104,0.0,0.0,0.0,3.0,,,,
nyc_queens,4,SAA,0,20.0,45.4129,41.2079,97.25065,4.205,59.56729,0.24,0.34,5.81628,0.0,0.0,0.0,4.0,,,,
nyc_queens,4,CVAR,0,20.0,42.34536,38.12536,89.97584,4.22,49.9335,0.11,0.13,1.20144,0.0,0.0,0.0,4.0,,,,
nyc_queens,4,Q90C,0,30.0,42.18101,38.11101,89.94198,4.07,49.39002,0.035,0.035,0.40054,0.0,0.0,0.0,5.0,1.1035,,,
nyc_queens,4,RO,0,20.0,48.2923,44.4173,104.82482,3.875,54.86852,0.01,0.01,0.10445,0.0,0.0,0.0,7.0,,,,
nyc_queens,4,DFR,0,50.0,42.80095,39.12095,92.32543,3.68,50.29695,0.065,0.065,0.95503,0.0,0.0,0.0,5.0,1.1513,0.0684,0.86,DF
nyc_queens,4,ORT,0,20.1,40.74258,36.19258,85.41449,4.55,53.05273,0.245,0.345,4.89777,0.0,0.0,0.0,4.0,,,,
nyc_queens,5,DET,0,20.0,45.99039,40.02789,94.46582,5.9625,60.41258,0.71,1.2,21.90559,0.0,0.0,0.0,3.0,,,,
nyc_queens,5,PTO,0,20.0,47.67673,41.63423,98.25678,6.0425,60.97232,0.735,1.275,18.86288,0.0,0.0,0.0,3.0,,,,
nyc_queens,5,SAA,0,20.0,42.62738,38.46238,90.77122,4.165,53.04365,0.21,0.26,3.34802,0.0,0.0,0.0,4.0,,,,
nyc_queens,5,CVAR,0,20.0,43.37801,39.95301,94.28911,3.425,51.80938,0.135,0.155,1.50699,0.0,0.0,0.0,4.0,,,,
nyc_queens,5,Q90C,0,30.0,43.27733,39.67983,93.6444,3.5975,50.122,0.015,0.02,0.28714,0.0,0.0,0.0,5.0,1.1563,,,
nyc_queens,5,RO,0,20.0,46.88152,43.36902,102.35088,3.5125,53.4533,0.005,0.005,0.05814,0.0,0.0,0.0,6.0,,,,
nyc_queens,5,DFR,0,50.0,42.62738,38.46238,90.77122,4.165,53.04365,0.21,0.26,3.34802,0.0,0.0,0.0,4.0,1.1036,0.0451,0.86,SAA
nyc_queens,5,ORT,0,20.1,40.39682,36.48682,86.1089,3.91,51.48499,0.175,0.21,4.30444,0.0,0.0,0.0,4.0,,,,
nyc_brooklyn,1,DET,0,20.0,30.75411,26.82161,63.29899,3.9325,41.95862,0.46,0.64,4.54884,0.0,0.0,0.005,4.0,,,,
nyc_brooklyn,1,PTO,0,20.0,31.47239,27.46489,64.81714,4.0075,39.916,0.605,0.865,7.97991,0.0,0.0,0.0,5.0,,,,
nyc_brooklyn,1,SAA,0,20.0,30.08676,26.35176,62.19015,3.735,40.12141,0.315,0.46,4.65364,0.0,0.0,0.0,5.0,,,,
nyc_brooklyn,1,CVAR,0,20.0,29.71899,26.98149,63.67632,2.7375,35.02474,0.125,0.135,0.44542,0.0,0.0,0.0,6.0,,,,
nyc_brooklyn,1,Q90C,0,30.0,28.67923,26.27923,62.01897,2.4,33.69077,0.015,0.02,0.19513,0.0,0.0,0.0,6.0,1.1345,,,
nyc_brooklyn,1,RO,0,20.0,32.33251,29.94751,70.67612,2.385,36.66442,0.005,0.005,0.04436,0.0,0.0,0.0,8.0,,,,
nyc_brooklyn,1,DFR,0,50.0,28.88756,25.69256,60.63445,3.195,36.4764,0.18,0.195,2.77166,0.0,0.0,0.0,5.0,1.1384,0.0472,0.691,DF
nyc_brooklyn,1,ORT,0,20.1,27.12448,23.92698,56.46767,3.1975,36.33229,0.315,0.46,3.9674,0.0,0.0,0.0,5.0,,,,
nyc_brooklyn,2,DET,0,20.0,30.69507,25.93007,61.19497,4.765,42.37405,0.615,0.865,9.91207,0.0,0.0,0.005,5.0,,,,
nyc_brooklyn,2,PTO,0,20.0,34.45396,27.74396,65.47574,6.71,48.72129,0.72,1.085,10.95203,0.0,0.0,0.01,4.0,,,,
nyc_brooklyn,2,SAA,0,20.0,29.10018,26.31018,62.09203,2.79,36.76784,0.21,0.235,2.30699,0.0,0.0,0.0,6.0,,,,
nyc_brooklyn,2,CVAR,0,20.0,30.04666,27.03416,63.80062,3.0125,38.31347,0.085,0.09,0.61892,0.0,0.0,0.005,6.0,,,,
nyc_brooklyn,2,Q90C,0,30.0,30.6871,28.0671,66.23835,2.62,35.61722,0.005,0.005,0.08835,0.0,0.0,0.0,7.0,1.1609,,,
nyc_brooklyn,2,RO,0,20.0,31.67253,28.98253,68.39878,2.69,36.66027,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,
nyc_brooklyn,2,DFR,0,50.0,29.10018,26.31018,62.09203,2.79,36.76784,0.21,0.235,2.30699,0.0,0.0,0.0,6.0,1.1424,0.0902,0.689,SAA
nyc_brooklyn,2,ORT,0,20.1,28.34566,24.96316,58.91306,3.3825,38.85888,0.39,0.595,4.28337,0.0,0.0,0.0,4.0,,,,
nyc_brooklyn,3,DET,0,20.0,30.22301,26.87551,63.42621,3.3475,38.49424,0.29,0.3,2.89386,0.0,0.0,0.0,5.0,,,,
nyc_brooklyn,3,PTO,0,20.0,31.84262,27.07762,63.90319,4.765,41.61885,0.76,1.1,8.82808,0.0,0.0,0.0,4.0,,,,
nyc_brooklyn,3,SAA,0,20.0,30.53075,27.50075,64.90178,3.03,36.62698,0.1,0.1,0.59747,0.0,0.0,0.0,7.0,,,,
nyc_brooklyn,3,CVAR,0,20.0,30.1509,26.9209,63.53332,3.23,40.05887,0.06,0.06,0.64958,0.0,0.0,0.005,6.0,,,,
nyc_brooklyn,3,Q90C,0,30.0,28.61602,26.21602,61.86981,2.4,33.58276,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1422,,,
nyc_brooklyn,3,RO,0,20.0,30.87306,28.41306,67.05481,2.46,35.97311,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,
nyc_brooklyn,3,DFR,0,50.0,28.94346,26.21096,61.85787,2.7325,36.81813,0.165,0.17,2.33826,0.0,0.0,0.0,5.0,1.1371,0.0451,0.689,DF
nyc_brooklyn,3,ORT,0,20.1,29.50142,26.17642,61.77634,3.325,39.78022,0.355,0.48,5.39674,0.0,0.0,0.0,5.0,,,,
nyc_brooklyn,4,DET,0,20.0,31.68407,25.66157,60.5613,6.0225,45.60118,0.545,0.82,7.50679,0.0,0.0,0.005,4.0,,,,
nyc_brooklyn,4,PTO,0,20.0,34.01362,27.89112,65.82305,6.1225,51.44125,0.735,1.1,8.42258,0.0,0.0,0.01,6.0,,,,
nyc_brooklyn,4,SAA,0,20.0,29.50855,26.81355,63.27998,2.695,35.01191,0.135,0.145,0.56935,0.0,0.0,0.0,5.0,,,,
nyc_brooklyn,4,CVAR,0,20.0,28.11291,25.69041,60.62937,2.4225,33.95639,0.11,0.12,0.77466,0.0,0.0,0.0,6.0,,,,
nyc_brooklyn,4,Q90C,0,30.0,29.03696,26.79446,63.23493,2.2425,33.22315,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1478,,,
nyc_brooklyn,4,RO,0,20.0,32.53544,29.92044,70.61225,2.615,37.05675,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,
nyc_brooklyn,4,DFR,0,50.0,29.50855,26.81355,63.27998,2.695,35.01191,0.135,0.145,0.56935,0.0,0.0,0.0,5.0,1.1341,0.0468,0.69,SAA
nyc_brooklyn,4,ORT,0,20.1,27.50203,24.61953,58.10209,2.8825,36.88365,0.32,0.44,3.20487,0.0,0.0,0.0,4.0,,,,
nyc_brooklyn,5,DET,0,20.0,32.80785,26.75785,63.14853,6.05,44.29434,0.565,0.77,8.41827,0.0,0.0,0.005,4.0,,,,
nyc_brooklyn,5,PTO,0,20.0,33.45269,27.60269,65.14234,5.85,41.31083,0.765,1.185,12.24291,0.0,0.0,0.0,4.0,,,,
nyc_brooklyn,5,SAA,0,20.0,29.76119,26.69619,63.00302,3.065,35.03132,0.19,0.21,0.8498,0.0,0.0,0.0,5.0,,,,
nyc_brooklyn,5,CVAR,0,20.0,28.68176,26.05176,61.48216,2.63,33.96505,0.04,0.045,0.23543,0.0,0.0,0.0,6.0,,,,
nyc_brooklyn,5,Q90C,0,30.0,29.54804,27.21054,64.21686,2.3375,33.80217,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1634,,,
nyc_brooklyn,5,RO,0,20.0,31.78616,29.49116,69.59913,2.295,35.86163,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,
nyc_brooklyn,5,DFR,0,50.0,29.54583,27.04833,63.83405,2.4975,34.15197,0.01,0.01,0.02175,0.0,0.0,0.0,6.0,1.1481,0.0752,0.69,DF
nyc_brooklyn,5,ORT,0,20.1,27.60345,24.42345,57.63935,3.18,36.58136,0.34,0.475,3.34322,0.0,0.0,0.0,4.0,,,,
dublin_real,1,DET,0,20.0,98.38276,79.02026,186.48782,19.3625,128.61731,0.97,3.99,60.1389,0.0,0.0,0.0,11.0,,,,
dublin_real,1,PTO,0,20.0,106.72441,81.18941,191.60702,25.535,141.37086,0.955,4.95,79.47159,0.0,0.0,0.0,10.0,,,,
dublin_real,1,SAA,0,20.0,86.60427,75.04427,177.10447,11.56,117.21113,0.655,1.62,23.84652,0.0,0.0,0.0,13.0,,,,
dublin_real,1,CVAR,0,20.0,86.64807,75.05057,177.11933,11.5975,114.0177,0.84,1.985,27.2268,0.0,0.0,0.0,12.0,,,,
