baseline,n,mean_gain_pct,median_gain_pct,ci_lo,ci_hi,wins,ties,losses,rank_biserial,cliffs_delta,wilcoxon_p,holm_p
CVAR,55,0.34,0.59,-0.93,1.73,30,3,22,0.123,0.008,0.306694,0.61339
DET,55,8.58,5.12,3.28,6.89,46,1,8,0.794,0.083,2.1e-05,0.00012
ORT,55,15.3,21.86,-3.12,27.51,32,0,23,0.582,0.161,0.000129,0.00051
PTO,55,12.29,8.94,5.35,10.59,45,0,10,0.874,0.105,3e-06,2e-05
Q90C,55,-1.14,0.0,-0.89,0.14,20,13,22,0.012,0.007,0.885314,0.88531
RO,55,3.23,5.8,2.22,8.12,39,5,11,0.529,0.092,0.018636,0.05591
SAA,55,1.59,0.0,0.0,1.51,25,27,3,0.837,0.042,5.8e-05,0.00029
